,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
6604,312493,vito van crooij,"['vvv-venlo', 'pec-zwolle', 'sparta-rotterdam']",7555,vito van crooij,PEC Zwolle,237895
6605,93637,mario engels,"['roda-jc-kerkrade', 'sparta-rotterdam']",8262,mario engels,SV Sandhausen,223370
6606,119066,bryan smeets,"['de-graafschap-doetinchem', 'sparta-rotterdam']",8373,bryan george jeffrey smeets,Sparta Rotterdam,229212
6608,273431,mohammed osman,"['vitesse-arnheim', 'heracles-almelo', 'sparta-rotterdam']",6336,mohammed osman,Heracles Almelo,229210
6609,412943,kenzo goudmijn,"['sbv-excelsior-rotterdam', 'az-alkmaar', 'sparta-rotterdam']",13070,kenzo goudmijn,AZ Alkmaar,246099
6610,56381,adil auassar,"['sbv-excelsior-rotterdam', 'roda-jc-kerkrade', 'sparta-rotterdam']",8907,adil auassar,Sparta Rotterdam,185171
6611,293168,filip benkovic,"['celtic-glasgow', 'leicester-city']",1608,filip benkovic,Leicester City,244269
6612,413220,james justin,['leicester-city'],6377,james justin,Leicester City,231554
6613,163724,laurent jans,"['waasland-beveren', 'sc-paderborn-07', 'standard-luttich', 'sparta-rotterdam']",6001,laurent jans,SC Paderborn 07,206269
6614,129991,bart vriends,"['go-ahead-eagles-deventer', 'sparta-rotterdam']",9293,bart vriends,Sparta Rotterdam,216193
6615,255748,michael heylen,"['rsc-anderlecht', 'kvc-westerlo', 'sv-zulte-waregem', 'fc-emmen', 'sparta-rotterdam']",9210,michael heylen,SV Zulte Waregem,212120
6616,56836,aaron meijers,"['ado-den-haag', 'sparta-rotterdam']",6806,aaron meijers,ADO Den Haag,188621
6617,119061,tim coremans,"['ado-den-haag', 'sparta-rotterdam']",7888,tim coremans,Sparta Rotterdam,193443
6618,44352,luis suarez,"['fc-barcelona', 'atletico-madrid']",13,luis alberto suarez diaz,FC Barcelona,176580
6619,517894,matheus cunha,"['rasenballsport-leipzig', 'hertha-bsc', 'atletico-madrid']",2629,matheus santos carneiro da cunha,RB Leipzig,240243
6620,203026,danny ward,"['aberdeen-fc', 'fc-liverpool', 'huddersfield-town', 'leicester-city']",2966,danny ward,Leicester City,207998
6621,125781,antoine griezmann,"['atletico-madrid', 'fc-barcelona']",17,antoine griezmann,FC Barcelona,194765
6622,61560,marc albrighton,['leicester-city'],1328,marc albrighton,Leicester City,183130
6623,140776,yannick carrasco,"['as-monaco', 'atletico-madrid']",210,yannick ferreira carrasco,Dalian Professional Football Club,208418
6624,205562,thomas lemar,"['sm-caen', 'as-monaco', 'atletico-madrid']",219,thomas lemar,Atletico de Madrid,213565
6625,122043,hector herrera,"['fc-porto', 'atletico-madrid']",243,hector miguel herrera lopez,Atletico de Madrid,156519
6626,255901,rodrigo de paul,"['fc-valencia', 'udinese-calcio', 'atletico-madrid']",914,rodrigo javier de paul,Udinese Calcio,212616
6627,282411,marcos llorente,"['real-madrid', 'deportivo-alaves', 'atletico-madrid']",547,marcos llorente moreno,Atletico de Madrid,226161
6628,127189,geoffrey kondogbia,"['as-monaco', 'inter-mailand', 'fc-valencia', 'atletico-madrid']",367,geoffrey edwin kondogbia,Valencia CF,201455
6629,76061,sime vrsaljko,"['us-sassuolo', 'atletico-madrid', 'inter-mailand']",495,sime vrsaljko,Atletico de Madrid,203890
6630,95810,kieran trippier,"['fc-burnley', 'tottenham-hotspur', 'atletico-madrid']",450,kieran trippier,Atletico de Madrid,186345
6631,333815,dirk abels,"['psv-eindhoven', 'sparta-rotterdam']",12185,dirk abels,Sparta Rotterdam,250805
6632,476352,renan lodi,['atletico-madrid'],1254,renan augusto lodi dos santos,Atletico de Madrid,251573
6633,156501,felipe,"['fc-porto', 'atletico-madrid']",143,felipe augusto de almeida monteiro,Atletico de Madrid,207863
6634,281769,mario hermoso,"['espanyol-barcelona', 'atletico-madrid']",553,mario hermoso canseco,Atletico de Madrid,229668
