,0
1538,5977
1539,5981
1540,5986
1541,5991
1542,5998
1543,6004
1544,6005
1545,6016
1546,6021
1547,6024
1548,6025
1549,6027
1550,6035
1551,6040
1552,6043
1553,6044
1554,6046
1555,6054
1556,6056
1557,6058
1558,6059
1559,6061
1560,6062
1561,6066
1562,6070
1563,6072
1564,6078
1565,6080
1566,6082
1567,6084
1568,6089
1569,6092
1570,6096
1571,6101
1572,6102
1573,6105
1574,6107
1575,6110
1576,6111
1577,6113
1578,6120
1579,6121
1580,6122
1581,6126
1582,6128
1583,6129
1584,6136
1585,6143
1586,6144
1587,6145
1588,6146
1589,6150
1590,6167
1591,6179
1592,6226
1593,6228
1594,6234
1595,6260
1596,6262
1597,6275
1598,6288
1599,6305
1600,6308
1601,6311
1602,6315
1603,6321
1604,6323
1605,6325
1606,6327
1607,6328
1608,6331
1609,6332
1610,6336
1611,6337
1612,6341
1613,6342
1614,6345
1615,6348
1616,6349
1617,6352
1618,6353
1619,6354
1620,6356
1621,6360
1622,6361
1623,6362
1624,6364
1625,6370
1626,6373
1627,6382
1628,6385
1629,6387
1630,6388
1631,6389
1632,6392
1633,6394
1634,6396
1635,6402
1636,6405
1637,6409
1638,6411
1639,6413
1640,6418
1641,6421
1642,6422
1643,6423
1644,6425
1645,6426
1646,6429
1647,6441
1648,6446
1649,6449
1650,6453
1651,6454
1652,6459
1653,6461
1654,6465
1655,6470
1656,6471
1657,6473
1658,6474
1659,6484
1660,6486
1661,6487
1662,6502
1663,6509
1664,6514
1665,6517
1666,6519
1667,6523
1668,6528
1669,6531
1670,6532
1671,6534
1672,6536
1673,6538
1674,6550
1675,6557
1676,6560
1677,6564
1678,6569
1679,6570
1680,6572
1681,6574
1682,6579
1683,6581
1684,6584
1685,6596
1686,6603
1687,6607
1688,6609
1689,6613
1690,6615
1691,6621
1692,6622
1693,6623
1694,6632
1695,6633
1696,6641
1697,6645
1698,6649
1699,6651
1700,6657
1701,6658
1702,6660
1703,6663
1704,6664
1705,6666
1706,6670
1707,6671
1708,6672
1709,6674
1710,6680
1711,6689
1712,6694
1713,6697
1714,6699
1715,6711
1716,6713
1717,6715
1718,6722
1719,6723
1720,6725
1721,6731
1722,6734
1723,6744
1724,6745
1725,6758
1726,6777
1727,6779
1728,6783
1729,6786
1730,6787
1731,6791
1732,6794
1733,6795
1734,6796
1735,6801
1736,6815
1737,6816
1738,6830
1739,6833
1740,6838
1741,6844
1742,6850
1743,6851
1744,6852
1745,6882
1746,6885
1747,6886
1748,6887
1749,6889
1750,6895
1751,6896
1752,6899
1753,6902
1754,6903
1755,6905
1756,6908
1757,6909
1758,6913
1759,6926
1760,6928
1761,6931
1762,6941
1763,6948
1764,6950
1765,6988
1766,6993
1767,6994
1768,6996
1769,6999
1770,7002
1771,7003
1772,7005
1773,7006
1774,7008
1775,7009
1776,7010
1777,7015
1778,7020
1779,7023
1780,7025
1781,7027
1782,7034
1783,7035
1784,7039
1785,7058
1786,7060
1787,7064
1788,7066
1789,7067
1790,7070
1791,7079
1792,7080
1793,7083
1794,7096
1795,7098
1796,7101
1797,7104
1798,7110
1799,7113
1800,7123
1801,7125
1802,7126
1803,7127
1804,7129
1805,7133
1806,7142
1807,7152
1808,7168
1809,7174
1810,7177
1811,7181
1812,7182
1813,7184
1814,7185
1815,7186
1816,7194
1817,7205
1818,7209
1819,7223
1820,7225
1821,7228
1822,7229
1823,7230
1824,7231
1825,7232
1826,7233
1827,7234
1828,7235
1829,7238
1830,7239
1831,7241
1832,7242
1833,7247
1834,7248
1835,7249
1836,7252
1837,7254
1838,7255
1839,7257
1840,7258
1841,7259
1842,7260
1843,7261
1844,7262
1845,7263
1846,7264
1847,7265
1848,7267
1849,7272
1850,7275
1851,7278
1852,7279
1853,7282
1854,7285
1855,7286
1856,7287
1857,7289
1858,7292
1859,7294
1860,7295
1861,7313
1862,7317
1863,7323
1864,7340
1865,7347
1866,7352
1867,7353
1868,7391
1869,7398
1870,7399
1871,7406
1872,7418
1873,7421
1874,7423
1875,7425
1876,7429
1877,7430
1878,7435
1879,7443
1880,7445
1881,7446
1882,7452
1883,7458
1884,7465
1885,7466
1886,7474
1887,7483
1888,7484
1889,7501
1890,7506
1891,7507
1892,7518
1893,7522
1894,7528
1895,7537
1896,7541
1897,7543
1898,7545
1899,7547
1900,7548
1901,7551
1902,7553
1903,7554
1904,7555
1905,7556
1906,7557
1907,7564
1908,7569
1909,7571
1910,7586
1911,7594
1912,7595
1913,7600
1914,7601
1915,7602
1916,7607
1917,7608
1918,7612
1919,7615
1920,7619
1921,7632
1922,7639
1923,7641
1924,7645
1925,7647
1926,7660
1927,7666
1928,7672
1929,7679
1930,7682
1931,7686
