Places,latitude,longitude,jour,date,Tmin,Tmax,Humidity,Weather,clouds,WeatherCode,icone
Eguisheim,48.0447968,7.3079618,1.0,2022-02-11 11:00:00,1.0400000000000205,8.03000000000003,59.0,Rain (moderate rain),68.0,501.0,http://openweathermap.org/img/wn/10d.png
Besancon,47.2380222,6.0243622000000006,1.0,2022-02-11 11:00:00,0.18999999999999773,7.410000000000025,68.0,Snow (rain and snow),88.0,616.0,http://openweathermap.org/img/wn/13d.png
Dijon,47.3215806,5.0414701,1.0,2022-02-11 11:00:00,0.5400000000000205,8.180000000000007,65.0,Rain (moderate rain),50.0,501.0,http://openweathermap.org/img/wn/10d.png
Annecy,45.8992348,6.1288847,1.0,2022-02-11 11:00:00,-0.7999999999999545,5.640000000000043,88.0,Snow (rain and snow),96.0,616.0,http://openweathermap.org/img/wn/13d.png
Grenoble,45.1875602,5.7357819,1.0,2022-02-11 11:00:00,1.75,7.390000000000043,99.0,Rain (moderate rain),100.0,501.0,http://openweathermap.org/img/wn/10d.png
Lyon,45.75781370000001,4.8320114,1.0,2022-02-11 11:00:00,1.670000000000016,8.090000000000032,73.0,Rain (light rain),98.0,500.0,http://openweathermap.org/img/wn/10d.png
Gorges du Verdon,43.7497,6.32859,1.0,2022-02-11 11:00:00,2.6100000000000136,11.180000000000007,43.0,Clouds (broken clouds),68.0,803.0,http://openweathermap.org/img/wn/04d.png
Bormes les Mimosas,43.1506968,6.3419285000000025,1.0,2022-02-11 11:00:00,8.370000000000005,15.370000000000005,52.0,Clouds (scattered clouds),38.0,802.0,http://openweathermap.org/img/wn/03d.png
Cassis,43.2140359,5.5396318,1.0,2022-02-11 11:00:00,9.32000000000005,13.78000000000003,62.0,Clouds (broken clouds),77.0,803.0,http://openweathermap.org/img/wn/04d.png
Marseille,43.2961743,5.3699525,1.0,2022-02-11 11:00:00,8.660000000000025,12.860000000000014,64.0,Clouds (broken clouds),80.0,803.0,http://openweathermap.org/img/wn/04d.png
Aix en Provence,43.5298424,5.4474738,1.0,2022-02-11 11:00:00,6.25,12.850000000000023,61.0,Clouds (broken clouds),82.0,803.0,http://openweathermap.org/img/wn/04d.png
Avignon,43.9492493,4.8059012,1.0,2022-02-11 11:00:00,4.6200000000000045,10.180000000000007,61.0,Clouds (scattered clouds),26.0,802.0,http://openweathermap.org/img/wn/03d.png
Uzes,44.0121279,4.4196718,1.0,2022-02-11 11:00:00,4.57000000000005,11.620000000000005,56.0,Clouds (broken clouds),52.0,803.0,http://openweathermap.org/img/wn/04d.png
Nimes,43.8374249,4.3600687,1.0,2022-02-11 11:00:00,5.8799999999999955,12.560000000000002,57.0,Clouds (broken clouds),58.0,803.0,http://openweathermap.org/img/wn/04d.png
Aigues Mortes,43.5658225,4.1912837,1.0,2022-02-11 11:00:00,7.3799999999999955,13.439999999999998,64.0,Clouds (broken clouds),57.0,803.0,http://openweathermap.org/img/wn/04d.png
Saintes Maries de la mer,43.4522771,4.4287172,1.0,2022-02-11 11:00:00,7.920000000000016,12.850000000000023,63.0,Clouds (broken clouds),71.0,803.0,http://openweathermap.org/img/wn/04d.png
Collioure,42.52505,3.0831554,1.0,2022-02-11 12:00:00,9.400000000000034,14.390000000000043,61.0,Clouds (overcast clouds),88.0,804.0,http://openweathermap.org/img/wn/04d.png
Carcassonne,43.21303579999999,2.3491069,1.0,2022-02-11 12:00:00,5.800000000000011,11.970000000000027,77.0,Rain (light rain),96.0,500.0,http://openweathermap.org/img/wn/10d.png
Ariege,42.9455368,1.4065544156065486,1.0,2022-02-11 12:00:00,0.22000000000002728,3.2000000000000455,91.0,Rain (moderate rain),100.0,501.0,http://openweathermap.org/img/wn/10d.png
Toulouse,43.6044622,1.4442469,1.0,2022-02-11 12:00:00,4.860000000000014,10.879999999999995,73.0,Rain (light rain),98.0,500.0,http://openweathermap.org/img/wn/10d.png
Montauban,44.0175835,1.3549991,1.0,2022-02-11 12:00:00,4.330000000000041,11.620000000000005,65.0,Rain (moderate rain),85.0,501.0,http://openweathermap.org/img/wn/10d.png
Biarritz,43.47114375,-1.552726590666314,1.0,2022-02-11 12:00:00,7.310000000000002,10.330000000000041,83.0,Rain (moderate rain),87.0,501.0,http://openweathermap.org/img/wn/10d.png
Bayonne,43.49333789999999,-1.475099,1.0,2022-02-11 12:00:00,7.050000000000011,10.550000000000011,82.0,Rain (moderate rain),89.0,501.0,http://openweathermap.org/img/wn/10d.png
La Rochelle,46.1591126,-1.1520434,1.0,2022-02-11 12:00:00,3.4600000000000364,9.129999999999995,59.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Mont Saint Michel,48.6355232,-1.5102571000000002,2.0,2022-02-12 12:00:00,0.2300000000000182,7.960000000000036,53.0,Clouds (broken clouds),77.0,803.0,http://openweathermap.org/img/wn/04d.png
St Malo,48.649518,-2.0260409,2.0,2022-02-12 12:00:00,1.9300000000000068,7.830000000000041,56.0,Clouds (overcast clouds),88.0,804.0,http://openweathermap.org/img/wn/04d.png
Bayeux,49.2764624,-0.7024738,2.0,2022-02-12 12:00:00,0.20000000000004547,7.850000000000023,51.0,Clouds (broken clouds),78.0,803.0,http://openweathermap.org/img/wn/04d.png
Le Havre,49.4938975,0.1079732,2.0,2022-02-12 12:00:00,3.3600000000000136,7.830000000000041,52.0,Clouds (overcast clouds),93.0,804.0,http://openweathermap.org/img/wn/04d.png
Rouen,49.4404591,1.0939658,2.0,2022-02-12 12:00:00,0.5100000000000477,7.270000000000039,53.0,Clouds (overcast clouds),89.0,804.0,http://openweathermap.org/img/wn/04d.png
Paris,48.8566969,2.3514616000000004,2.0,2022-02-12 12:00:00,2.0600000000000023,7.8799999999999955,51.0,Clouds (broken clouds),83.0,803.0,http://openweathermap.org/img/wn/04d.png
Amiens,49.8941708,2.2956951,2.0,2022-02-12 12:00:00,0.5,6.7000000000000455,53.0,Clouds (broken clouds),77.0,803.0,http://openweathermap.org/img/wn/04d.png
Lille,50.6365654,3.0635282000000004,2.0,2022-02-12 12:00:00,1.0100000000000477,6.8799999999999955,53.0,Clouds (broken clouds),77.0,803.0,http://openweathermap.org/img/wn/04d.png
Strasbourg,48.584614,7.750712700000001,2.0,2022-02-12 11:00:00,0.010000000000047748,7.270000000000039,61.0,Clouds (few clouds),23.0,801.0,http://openweathermap.org/img/wn/02d.png
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,2.0,2022-02-12 11:00:00,-3.1499999999999773,2.430000000000007,70.0,Clouds (scattered clouds),36.0,802.0,http://openweathermap.org/img/wn/03d.png
Colmar,48.07775170000001,7.3579641,2.0,2022-02-12 11:00:00,-0.14999999999997726,5.6299999999999955,67.0,Clouds (scattered clouds),26.0,802.0,http://openweathermap.org/img/wn/03d.png
Eguisheim,48.0447968,7.3079618,2.0,2022-02-12 11:00:00,0.020000000000038654,5.670000000000016,67.0,Clouds (scattered clouds),28.0,802.0,http://openweathermap.org/img/wn/03d.png
Besancon,47.2380222,6.0243622000000006,2.0,2022-02-12 11:00:00,-0.7399999999999523,7.0,56.0,Clouds (few clouds),11.0,801.0,http://openweathermap.org/img/wn/02d.png
Dijon,47.3215806,5.0414701,2.0,2022-02-12 11:00:00,-0.48999999999995225,5.0,64.0,Clouds (broken clouds),65.0,803.0,http://openweathermap.org/img/wn/04d.png
Annecy,45.8992348,6.1288847,2.0,2022-02-12 11:00:00,-2.4699999999999704,8.32000000000005,52.0,Clear (clear sky),4.0,800.0,http://openweathermap.org/img/wn/01d.png
Grenoble,45.1875602,5.7357819,2.0,2022-02-12 11:00:00,1.4600000000000364,11.900000000000034,50.0,Clouds (scattered clouds),45.0,802.0,http://openweathermap.org/img/wn/03d.png
Lyon,45.75781370000001,4.8320114,2.0,2022-02-12 11:00:00,-0.48999999999995225,8.670000000000016,57.0,Clouds (scattered clouds),25.0,802.0,http://openweathermap.org/img/wn/03d.png
Gorges du Verdon,43.7497,6.32859,2.0,2022-02-12 11:00:00,1.57000000000005,10.07000000000005,41.0,Clear (clear sky),5.0,800.0,http://openweathermap.org/img/wn/01d.png
